"Demaryius Thomas",6900,DEN,WR,KCC,23.8992,6.7408,15.32
"Harry Douglas",3000,TEN,WR,CHI,6.4614,0.7986,3.63
"Kendall Wright",4000,TEN,WR,CHI,15.1305,3.2095,9.17
"Phillip Dorsett",3200,IND,WR,PIT,11.907,2.793,7.35
"Chester Rogers",3000,IND,WR,PIT,3.74,0,1.87
"Cobi Hamilton",3000,PIT,WR,IND,9.2508,2.6092,5.93
"Donte Moncrief",6400,IND,WR,PIT,18.6446,7.6154,13.13
"T.Y. Hilton",7900,IND,WR,PIT,26.1048,9.6552,17.88
"Eli Rogers",4500,PIT,WR,IND,14.9184,5.8016,10.36
"Sammie Coates",3500,PIT,WR,IND,8.339,2.421,5.38
"Travis Benjamin",4900,SDC,WR,HOU,17.884,3.156,10.52
"Dontrelle Inman",4100,SDC,WR,HOU,15.7464,3.6936,9.72
"Braxton Miller",3000,HOU,WR,SDC,15.3614,1.8986,8.63
"Keith Mumphery",3000,HOU,WR,SDC,5.76,0,2.88
"Will Fuller",5100,HOU,WR,SDC,17.442,3.078,10.26
"DeAndre Hopkins",6300,HOU,WR,SDC,22.7604,6.4196,14.59
"Tyrell Williams",6000,SDC,WR,HOU,21.27,7.09,14.18
"Griff Whalen",3000,SDC,WR,HOU,3,0,1.5
"Antonio Brown",9200,PIT,WR,IND,32.4904,15.2896,23.89
"DeSean Jackson",4800,WAS,WR,DAL,19.716,5.724,12.72
"Stefon Diggs",6900,MIN,WR,DET,27.5064,10.1736,18.84
"Adam Thielen",4000,MIN,WR,DET,14.7033,4.5167,9.61
"Andre Roberts",3000,DET,WR,MIN,3.92,0,1.96
"Anquan Boldin",3300,DET,WR,MIN,14.0826,5.0774,9.58
"Marvin Jones",4100,DET,WR,MIN,16.0992,4.5408,10.32
"Golden Tate",5600,DET,WR,MIN,21.6288,8.4112,15.02
"Charles Johnson",3000,MIN,WR,DET,4.1,0,2.05
"Cordarrelle Patterson",3600,MIN,WR,DET,13.203,3.097,8.15
"Pierre Garcon",3900,WAS,WR,DAL,13.9375,8.3625,11.15
"Jamison Crowder",5800,WAS,WR,DAL,16.896,8.704,12.8
"Brice Butler",3000,DAL,WR,WAS,4.8,0,2.4
"Cole Beasley",5500,DAL,WR,WAS,16.184,6.936,11.56
"Dez Bryant",7700,DAL,WR,WAS,23.8752,9.2848,16.58
"Terrance Williams",3100,DAL,WR,WAS,12.9168,3.6432,8.28
"Larry Fitzgerald",7000,ARI,WR,ATL,27.122,11.078,19.1
"Michael Floyd",4300,ARI,WR,ATL,11.184,7.456,9.32
"Leonte Carroo",3000,MIA,WR,SFO,2.06,0,1.03
"Allen Robinson",7200,JAC,WR,BUF,23.309,9.291,16.3
"Allen Hurns",3900,JAC,WR,BUF,16.337,4.743,10.54
"Kenny Stills",3600,MIA,WR,SFO,14.499,3.401,8.95
"DeVante Parker",4700,MIA,WR,SFO,19.1425,5.5575,12.35
"Rod Streater",3000,SFO,WR,MIA,4.56,0,2.28
"Jarvis Landry",5900,MIA,WR,SFO,25.8068,8.8332,17.32
"Marqise Lee",4000,JAC,WR,BUF,16.571,6.129,11.35
"Rashad Greene",3000,JAC,WR,BUF,3.46,0,1.73
"Rishard Matthews",5800,TEN,WR,CHI,17.8572,8.0228,12.94
"Tajae Sharpe",3700,TEN,WR,CHI,15.5448,4.7752,10.16
"Brandon Tate",3000,BUF,WR,JAC,11.0894,1.3706,6.23
"Percy Harvin",3600,BUF,WR,JAC,14.5962,3.4238,9.01
"Marquise Goodwin",3600,BUF,WR,JAC,16.1304,4.5496,10.34
"Justin Hunter",3000,BUF,WR,JAC,9.82,0,4.91
"Jeremy Kerley",3500,SFO,WR,MIA,14.246,2.514,8.38
"Quinton Patton",3300,SFO,WR,MIA,14.4666,3.3934,8.93
"Justin Hardy",3000,ATL,WR,ARI,7.1556,0.8844,4.02
"Taylor Gabriel",3600,ATL,WR,ARI,10.0276,1.6324,5.83
"Mohamed Sanu",4300,ATL,WR,ARI,18.3596,4.8804,11.62
"Julio Jones",8500,ATL,WR,ARI,27.2857,8.8543,18.07
"John Brown",4000,ARI,WR,ATL,15.111,6.789,10.95
"J.J. Nelson",4200,ARI,WR,ATL,9.0774,5.6826,7.38
"Brandon LaFell",4600,CIN,WR,BAL,19.6259,4.7541,12.19
"Tyler Boyd",4000,CIN,WR,BAL,22.8525,4.8475,13.85
"Breshad Perriman",3100,BAL,WR,CIN,10.7016,1.0584,5.88
"Torrey Smith",3400,SFO,WR,MIA,9.288,1.512,5.4
"Kamar Aiken",3000,BAL,WR,CIN,8.1663,1.6137,4.89
"Steve Smith",6000,BAL,WR,CIN,20.8153,7.1247,13.97
"James Wright",3000,CIN,WR,BAL,9.68,0,4.84
"Mike Wallace",5300,BAL,WR,CIN,19.8245,5.7555,12.79
"Gary Barnidge",3600,CLE,TE,NYG,11.6046,6.8154,9.21
"Will Tye",3000,NYG,TE,CLE,9.4192,6.8208,8.12
"Jerell Adams",2500,NYG,TE,CLE,5.8283,1.1517,3.49
"Jimmy Graham",5300,SEA,TE,TBB,21.573,9.027,15.3
"Cameron Brate",3100,TBB,TE,SEA,12.2776,4.2024,8.24
"Luke Willson",2500,SEA,TE,TBB,5.06,0,2.53
"Josh Hill",2500,NOS,TE,LAR,5.68,0,2.84
"Coby Fleener",3100,NOS,TE,LAR,16.8777,2.8623,9.87
"Anthony Fasano",2500,TEN,TE,CHI,4,0,2
"Delanie Walker",4900,TEN,TE,CHI,19.8528,8.3072,14.08
"Logan Paulsen",2500,CHI,TE,TEN,11.0188,2.5012,6.76
"Lance Kendricks",3000,LAR,TE,NOS,11.8872,6.8328,9.36
"Tyler Higbee",2500,LAR,TE,NOS,,,1.64
"Luke Stocker",2500,TBB,TE,SEA,2.58,0,1.29
"Greg Olsen",5800,CAR,TE,OAK,19.6794,13.9606,16.82
"Richard Rodgers",2600,GBP,TE,PHI,6.7782,1.8018,4.29
"Austin Seferian-Jenkins",2500,NYJ,TE,NEP,7.7274,1.8126,4.77
